case_id,benchmark_id,mode,coeff,maxdim,threshold_label,dimension,normalization_mode,library,interval_index,birth,death,birth_hex,death_hex
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,7,3.0,3.0,0x1.8000000000000p+1,0x1.8000000000000p+1
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,8,3.0,3.0,0x1.8000000000000p+1,0x1.8000000000000p+1
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,9,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,10,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,11,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,12,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,13,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,14,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,15,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,16,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,17,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,18,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,19,1.9999999999999998,1.9999999999999998,0x1.fffffffffffffp+0,0x1.fffffffffffffp+0
