case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_obc_n6_g0p50__quantized__p3__h2__selected,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,3,2,selected,1.2529296875,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
tfim_obc_n6_g0p50__quantized__p3__h2__full,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,3,2,full,1.673828125,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,"1,2"
tfim_obc_n6_g1p00__floating__p2__h1__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,2,1,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p2__h1__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,2,1,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p2__h2__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,2,2,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p2__h2__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,2,2,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1,2"
tfim_obc_n6_g1p00__floating__p3__h1__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,1,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p3__h1__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,1,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p3__h2__selected,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,selected,4.571710545762174,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1"
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,"TFIM OBC N=6, g=1.00",floating,3,2,full,21.87969489144892,6,25887e7945644db9eab11e660e71c6fb097358f786c4ac6797650da7a153a049,,False,"0,1,2"
tfim_obc_n6_g1p00__quantized__p2__h1__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p2__h1__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,2,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,2,2,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,"1,2"
tfim_obc_n6_g1p00__quantized__p3__h1__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,1,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p3__h1__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,1,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p3__h2__selected,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,selected,4.5712890625,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,1
tfim_obc_n6_g1p00__quantized__p3__h2__full,tfim_obc_n6_g1p00__quantized,A,"TFIM OBC N=6, g=1.00",quantized,3,2,full,21.8798828125,6,49ff68439dd04efb0cb5af4c502a622209516d419c2677147fc692356a339360,,False,"1,2"
